first_name,points_per_game,second_name,selected_by_percent,team,total_points,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,creativity_rank,threat_rank,ict_index_rank,position,price,G+A,price_range,ownership
Danny,3.6,Welbeck,0.4,BHA,89,13.7,Welbeck,1469,6,4,5,16,0,13,247,361.8,228.9,598.0,117.8,181,155,51,102,Forward,6.5,10,Mid,Differential
Neal,3.1,Maupay,1.0,BHA,98,15.1,Maupay,2269,8,3,7,31,0,11,295,370.4,366.0,721.0,143.5,176,101,41,66,Forward,6.5,11,Mid,Differential
Deniz,0.0,Undav,2.2,BHA,0,0.0,Undav,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,517,517,517,517,Forward,5.5,0,Budget,Differential
Julio,0.0,Enciso,0.5,BHA,0,0.0,Enciso,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,499,499,496,500,Forward,5.0,0,Budget,Differential
Timo,3.0,Werner,1.0,CHE,62,7.8,Werner,1278,4,2,5,17,0,5,175,207.6,153.1,773.0,112.7,254,195,35,111,Forward,8.0,6,Mid,Differential
Kai,3.9,Havertz,4.7,CHE,112,14.0,Havertz,1802,8,4,10,18,0,5,271,461.2,329.5,939.0,171.9,128,111,21,47,Forward,8.0,12,Mid,Differential
Armando,2.9,Broja,2.2,CHE,92,16.7,Broja,1969,6,2,5,37,0,11,234,280.2,159.2,720.0,115.6,217,193,42,107,Forward,5.5,8,Budget,Differential
Christian,2.3,Benteke,0.8,CRY,58,10.5,Benteke,1132,4,1,4,20,0,6,173,250.2,176.7,523.0,94.3,234,181,63,154,Forward,5.5,5,Budget,Differential
Odsonne,3.1,Edouard,3.5,CRY,87,15.8,Edouard,1554,6,4,9,19,0,9,280,389.8,265.7,618.0,127.6,170,136,49,87,Forward,5.5,10,Budget,Differential
Jean-Philippe,2.8,Mateta,1.1,CRY,61,11.1,Mateta,1138,5,1,5,14,0,6,182,253.6,112.8,568.0,93.4,230,231,56,156,Forward,5.5,6,Budget,Differential
Luke,0.0,Plange,1.9,CRY,0,0.0,Plange,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,460,456,448,462,Forward,4.5,0,Budget,Differential
Salomón,1.5,Rondón,0.2,EVE,30,6.0,Rondón,779,1,1,2,16,0,2,73,94.2,108.9,339.0,53.8,314,234,110,250,Forward,5.0,2,Budget,Differential
Dominic,3.8,Calvert-Lewin,1.9,EVE,64,8.0,Calvert-Lewin,1281,5,2,3,31,0,10,207,255.8,144.7,448.0,84.7,228,201,80,175,Forward,8.0,7,Mid,Differential
Aleksandar,0.0,Mitrović,7.9,FUL,0,0.0,Mitrović,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,524,524,524,524,Forward,6.5,0,Mid,Differential
Rodrigo,0.0,Muniz Carvalho,0.1,FUL,0,0.0,Muniz,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,512,512,512,512,Forward,5.5,0,Budget,Differential
Jay,0.0,Stansfield,1.2,FUL,0,0.0,Stansfield,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,470,467,459,471,Forward,4.5,0,Budget,Differential
Jamie,5.3,Vardy,4.8,LEI,133,14.0,Vardy,1801,15,3,4,27,0,24,480,599.8,229.5,775.0,159.6,75,154,34,52,Forward,9.5,18,Premium,Differential
Kelechi,3.1,Iheanacho,0.9,LEI,80,12.3,Iheanacho,1253,4,6,1,25,0,10,246,292.0,242.7,390.0,92.2,211,147,100,163,Forward,6.5,10,Mid,Differential
Patson,3.0,Daka,1.5,LEI,70,11.7,Daka,1152,5,3,3,20,0,8,216,287.8,166.2,460.0,90.9,213,188,75,165,Forward,6.0,8,Mid,Differential
Patrick,3.1,Bamford,0.9,LEE,28,3.7,Bamford,557,2,2,0,14,0,2,90,125.8,69.0,289.0,47.9,305,261,133,264,Forward,7.5,4,Mid,Differential
Sam,2.1,Greenwood,25.8,LEE,15,3.3,Greenwood,231,0,2,0,5,0,0,54,51.6,49.4,39.0,13.9,337,283,299,330,Forward,4.5,2,Budget,High
Joe,2.1,Gelhardt,0.9,LEE,43,7.8,Gelhardt,733,2,4,1,25,0,3,129,148.0,117.0,412.0,67.2,293,228,93,221,Forward,5.5,6,Budget,Differential
Roberto,3.1,Firmino,1.3,LIV,62,7.8,Firmino,980,5,4,5,9,0,5,270,337.2,248.4,497.0,108.3,191,141,67,124,Forward,8.0,9,Mid,Differential
Diogo,5.0,Teixeira da Silva,2.4,LIV,175,19.4,Diogo Jota,2357,15,7,14,19,0,8,483,736.8,538.2,1379.0,264.5,35,49,5,11,Forward,9.0,22,Premium,Differential
Darwin,0.0,Núñez Ribeiro,15.6,LIV,0,0.0,Darwin,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,527,527,527,527,Forward,9.0,0,Premium,High
Erling,0.0,Håland,58.4,MCI,0,0.0,Haaland,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,528,528,528,528,Forward,11.5,0,Premium,High
Julián,0.0,Álvarez,1.2,MCI,0,0.0,Álvarez,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,526,526,526,526,Forward,6.5,0,Mid,Differential
Liam,1.0,Delap,0.7,MCI,1,0.2,Delap,8,0,0,0,0,0,0,2,0.0,0.0,2.0,0.1,463,459,342,384,Forward,4.5,0,Budget,Differential
Cristiano Ronaldo,5.3,dos Santos Aveiro,4.2,MUN,159,15.1,Ronaldo,2454,18,3,8,41,0,29,608,800.4,421.9,1535.0,274.6,21,83,3,9,Forward,10.5,21,Premium,Differential
Anthony,1.8,Martial,7.0,MUN,14,2.0,Martial,207,1,0,0,3,0,2,40,40.4,17.5,91.0,14.6,346,323,255,328,Forward,7.0,1,Mid,Differential
Chris,2.7,Wood,1.7,NEW,91,15.2,Wood,2694,5,0,6,41,0,8,228,274.8,265.4,784.0,130.5,221,137,33,82,Forward,6.0,5,Mid,Differential
Callum,4.2,Wilson,3.0,NEW,75,10.0,Wilson,1386,8,0,3,32,0,14,220,319.8,127.3,494.0,92.4,203,219,68,161,Forward,7.5,8,Mid,Differential
Dwight,0.9,Gayle,1.4,NEW,7,1.6,Gayle,34,0,0,0,0,0,0,22,4.2,24.2,13.0,4.1,377,312,318,359,Forward,4.5,0,Budget,Differential
Lyle,0.0,Taylor,11.9,NFO,0,0.0,Taylor,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,415,408,392,418,Forward,4.5,0,Budget,Differential
Sam,0.0,Surridge,1.6,NFO,0,0.0,Surridge,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,489,488,484,490,Forward,5.0,0,Budget,Differential
Brennan,0.0,Johnson,3.0,NFO,0,0.0,Johnson,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,522,522,522,522,Forward,6.0,0,Mid,Differential
Taiwo,0.0,Awoniyi,1.6,NFO,0,0.0,Awoniyi,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,521,521,521,521,Forward,6.0,0,Mid,Differential
Adam,2.5,Armstrong,0.8,SOU,57,10.4,A.Armstrong,1409,2,3,4,31,0,3,150,179.2,180.2,575.0,92.7,271,178,55,158,Forward,5.5,5,Budget,Differential
Che,3.4,Adams,0.8,SOU,103,15.8,Adams,2034,7,4,5,40,0,11,333,425.8,337.7,804.0,156.8,146,106,30,56,Forward,6.5,11,Mid,Differential
Sékou,0.0,Mara,0.0,SOU,0,0.0,Mara,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,518,518,518,518,Forward,5.5,0,Budget,Differential
Harry,5.2,Kane,22.3,TOT,192,16.7,Kane,3231,17,11,14,40,0,23,684,1036.4,674.0,1798.0,350.4,5,25,2,3,Forward,11.5,28,Premium,High
Dane,1.0,Scarlett,0.7,TOT,1,0.2,Scarlett,3,0,0,0,0,0,0,4,1.0,0.0,0.0,0.1,382,466,458,385,Forward,4.5,0,Budget,Differential
Troy,0.0,Parrott,1.0,TOT,0,0.0,Parrott,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,456,452,444,458,Forward,4.5,0,Budget,Differential
Richarlison,4.2,de Andrade,0.4,TOT,125,14.7,Richarlison,2522,10,6,7,46,0,19,413,651.4,383.7,1010.0,203.9,59,94,14,29,Forward,8.5,16,Mid,Differential
Michail,3.9,Antonio,4.4,WHU,140,18.7,Antonio,2975,10,10,7,43,0,14,441,649.2,615.6,1274.0,252.7,60,36,9,17,Forward,7.5,20,Mid,Differential
Raúl,3.0,Jiménez,2.4,WOL,101,14.4,Jiménez,2630,6,5,11,32,0,11,266,470.8,506.7,746.0,171.2,122,58,39,48,Forward,7.0,11,Mid,Differential
Fabio,1.4,Silva,0.3,WOL,30,5.5,Fabio Silva,562,0,1,0,7,0,0,43,21.0,48.3,262.0,32.0,359,284,148,292,Forward,5.5,1,Budget,Differential
