id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,direct_freekicks_order,value_season,bonus,starts_per_90,cost_change_start,news_added,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,corners_and_indirect_freekicks_order,ep_next,event_points,web_name,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,news,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,total_points,in_dreamteam,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank
652,James Furlong,40,DEF,Brighton,0.0,204,0.0,0.00,613,0,0,211,2088,0.0,,0.0,0,0.0,0,2023-02-01T11:15:15.307002Z,0.00,0,0.0,0,0.0,238,0.0,0,,0.0,0,Furlong,0.0,599,0.0,580,0.00,0,u,199,0,0,0,Season-long loan to Motherwell,0.0,0,169,213,0.0,595,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,480,659,0.0,547,0.0,2100,0,0.0,0.0,214,215,0,680
677,Jack Hinshelwood,45,MID,Brighton,0.0,306,0.0,0.00,515,0,0,311,241,0.0,,0.2,0,0.0,0,,0.23,0,20.7,0,0.0,307,0.0,0,,0.0,1,Hinshelwood,0.0,738,0.0,732,0.00,0,a,266,0,0,0,,0.0,0,191,310,,737,,0.0,0.1,0,0.00,,0,1.0,1,1,False,407,739,0.0,722,0.1,349,3,0.0,0.0,310,237,0,457
679,Facundo Buonanotte,45,MID,Brighton,0.16,143,0.06,0.39,323,1,0,161,6032,0.3,,5.8,2,0.97,0,2023-01-27T16:00:09.112227Z,11.93,0,1.92,0,102.0,170,87.8,0,,1.3,1,Buonanotte,96.1,372,0.0,295,1.30,0,a,269,0,2,12,,0.27,1,112,169,100.0,398,,27.8,1.3,0,1.69,100.0,6,2.0,558,26,False,241,462,0.21,273,1.3,14693,72,1.94,0.1,170,125,1,460
719,Yasin Ayari,45,MID,Brighton,0.0,227,0.42,0.30,510,0,0,205,531,0.0,,0.7,0,1.38,0,2023-03-03T15:30:08.925943Z,1.45,0,2.01,0,3.0,286,5.4,0,,0.1,1,Ayari,25.3,485,0.0,407,0.02,0,a,251,0,0,2,,0.45,0,190,217,100.0,503,,3.3,0.1,0,0.32,100.0,1,1.0,65,3,False,406,704,0.03,466,0.1,960,14,2.77,0.0,225,232,0,440
736,Odeluga Offiah,40,DEF,Brighton,0.0,206,0.08,0.02,551,0,0,171,963,0.0,,0.2,0,0.0,0,,1.77,0,6.93,0,0.0,231,6.2,0,,0.0,0,Offiah,1.5,513,0.0,476,0.00,0,a,202,0,0,3,,0.08,0,171,177,,496,,0.8,0.0,0,0.02,,0,0.5,23,1,False,482,634,0.0,549,0.0,1672,10,11.74,0.0,176,186,0,683
756,Tom McGill,40,GKP,Brighton,0.0,40,0.0,0.00,601,0,0,49,341,0.0,,0.0,0,0.0,0,,0.00,0,0.0,0,0.0,78,0.0,0,,0.0,0,McGill,0.0,588,0.0,569,0.00,0,a,45,0,0,0,,0.0,0,58,66,,584,,0.0,0.0,0,0.00,,0,0.0,0,0,False,466,715,0.0,534,0.0,698,0,0.0,0.0,66,66,0,666
762,Cameron Peupion,45,MID,Brighton,0.0,220,0.0,0.00,503,0,0,241,35,0.0,,0.2,0,0.0,0,,0.95,0,17.1,0,5.0,326,0.0,0,,0.1,0,Peupion,0.3,522,0.0,497,0.06,0,a,241,0,0,2,,1.08,0,189,235,,712,,0.5,0.1,0,0.06,,0,1.0,5,1,False,405,763,1.08,454,0.1,127,3,36.0,0.0,290,226,0,426
765,Imari Samuels,40,DEF,Brighton,0.0,207,0.0,0.00,617,0,0,213,29,0.0,,0.0,0,0.0,0,2023-05-24T21:30:09.842243Z,0.00,0,0.0,0,0.0,261,0.0,0,,0.0,0,Samuels,0.0,603,0.0,584,0.00,0,i,203,0,0,0,International Duty - Expected back 12 Jun,0.0,0,172,215,0.0,599,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,485,760,0.0,552,0.0,129,0,0.0,0.0,216,217,0,686
48,Carney Chukwuemeka,42,MID,Chelsea,0.26,157,0.16,0.61,445,0,0,173,113634,0.2,,4.3,0,0.53,-3,2023-04-12T00:00:08.845842Z,8.10,3,2.13,0,72.0,107,57.6,0,,0.1,1,Chukwuemeka,69.7,406,0.0,333,0.33,0,a,330,0,0,7,,0.25,0,150,180,100.0,427,,19.9,0.7,1,0.94,100.0,2,1.3,342,18,False,314,312,0.09,313,0.2,75657,71,1.84,0.3,184,195,1,624
112,Marc Cucurella Saseta,49,DEF,Chelsea,0.32,103,0.05,0.96,198,0,0,33,2714280,0.0,,13.3,1,1.13,-1,2023-04-27T00:00:08.782165Z,26.03,1,1.4,0,72.0,26,354.4,0,,-0.1,0,Cucurella,232.5,227,0.0,152,0.38,0,d,31,0,4,20,Thigh injury - 25% chance of playing,0.07,2,253,68,25.0,197,,65.9,0.0,0,1.34,25.0,21,2.7,1669,65,False,726,77,0.02,315,-0.1,2311987,363,1.08,5.0,77,70,6,237
127,César Azpilicueta,47,DEF,Chelsea,0.18,82,0.07,1.25,358,0,0,41,352360,0.2,,9.6,4,0.95,-3,2023-02-18T21:30:07.912657Z,27.38,3,1.62,0,93.0,61,259.2,0,,0.3,2,Azpilicueta,206.7,259,0.0,176,0.35,1,a,45,0,3,21,,0.09,0,93,85,100.0,261,,55.8,1.0,1,1.60,100.0,16,1.8,1521,45,False,281,177,0.02,281,0.5,265047,242,1.24,1.2,102,129,3,293
128,Thiago Emiliano da Silva,54,DEF,Chelsea,0.23,50,0.04,1.04,158,0,0,100,1397271,0.2,,14.8,8,1.0,-1,2023-02-26T23:00:08.471309Z,34.83,1,1.33,0,137.0,23,657.2,0,,0.5,2,Thiago Silva,86.1,152,0.0,311,1.54,0,a,13,0,2,32,,0.1,2,84,32,100.0,56,,88.0,1.2,0,2.58,100.0,26,3.0,2351,80,False,256,69,0.06,229,0.7,1208815,524,1.23,5.7,14,50,6,117
129,Marcos Alonso,53,DEF,Chelsea,0.0,262,0.0,0.00,768,0,0,262,252668,0.0,,0.0,0,0.0,-2,2022-09-02T10:46:49.198371Z,0.00,2,0.0,0,0.0,81,0.0,0,,0.0,0,Alonso,0.0,767,0.0,765,0.00,0,u,15,0,0,0,Left by mutual consent,0.0,0,258,262,0.0,766,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,749,235,0.0,763,0.0,8779,0,0.0,0.7,262,262,0,134
131,Ross Barkley,49,MID,Chelsea,0.0,323,0.0,0.00,758,0,0,326,6986,0.0,,0.0,0,0.0,-1,2022-09-02T11:08:19.103069Z,0.00,1,0.0,0,0.0,238,0.0,0,,0.0,0,Barkley,0.0,756,0.0,754,0.00,0,u,127,0,0,0,Left by mutual consent,0.0,0,305,325,0.0,755,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,722,601,0.0,747,0.0,1910,0,0.0,0.0,325,327,0,226
132,Mateo Kovacic,49,MID,Chelsea,0.21,134,0.11,2.04,327,1,0,72,134485,0.2,,10.8,2,0.9,-1,2023-05-13T17:30:09.260005Z,24.00,1,1.27,0,114.0,110,294.2,0,,0.2,1,Kovacic,363.8,185,0.0,97,1.79,0,d,129,0,8,25,Knock - 50% chance of playing,0.2,2,130,100,50.0,229,,77.5,1.0,0,3.83,50.0,17,2.0,1699,53,False,283,324,0.09,253,0.2,78298,289,1.32,0.3,98,128,4,228
133,Kepa Arrizabalaga,45,GKP,Chelsea,0.32,72,0.0,0.00,45,0,0,12,1341981,0.4,,26.2,15,1.02,0,2022-10-29T17:30:06.932408Z,38.34,0,1.35,0,0.0,10,706.2,0,,1.3,3,Arrizabalaga,0.1,216,3.19,510,0.00,0,a,18,91,1,33,,0.0,0,16,13,100.0,43,,70.6,2.0,2,0.00,100.0,29,4.1,2565,118,False,161,61,0.0,653,1.5,1984646,575,1.16,6.4,13,10,9,355
134,N'Golo Kanté,48,MID,Chelsea,0.35,166,0.14,0.82,211,0,0,114,409065,0.3,,3.8,1,1.04,-2,2023-05-13T17:30:09.281498Z,5.23,2,0.91,0,58.0,63,107.0,0,,0.2,0,Kanté,186.9,339,0.0,182,0.32,0,d,160,0,1,7,Groin Injury - 25% chance of playing,0.2,1,115,151,25.0,375,,35.2,1.2,0,1.13,25.0,6,2.6,517,18,False,251,186,0.06,333,0.2,101591,120,1.22,1.1,157,81,2,269
135,Hakim Ziyech,55,MID,Chelsea,0.28,137,0.21,1.51,368,0,0,102,103056,0.3,,6.0,0,0.83,-5,2022-12-23T18:30:08.157184Z,8.80,5,1.22,0,113.0,97,155.4,0,3.0,1.5,0,Ziyech,230.9,278,0.0,153,0.65,0,a,56,0,1,7,,0.3,3,97,124,100.0,335,4.0,49.0,1.7,0,2.16,100.0,6,1.8,649,33,False,208,291,0.09,260,1.2,68588,129,0.97,0.4,136,156,2,107
136,Ruben Loftus-Cheek,50,MID,Chelsea,0.29,117,0.1,1.75,363,0,0,101,40719,0.3,,9.2,1,1.12,0,2022-12-20T01:00:07.138371Z,27.57,0,1.62,0,173.0,153,206.6,0,,1.1,1,Loftus-Cheek,234.8,243,0.0,149,0.85,1,a,107,0,1,23,,0.15,1,107,114,100.0,300,,61.6,1.5,0,2.60,100.0,19,1.8,1530,46,False,227,425,0.05,197,1.0,35772,228,1.35,0.1,124,153,5,189
137,Timo Werner,79,FWD,Chelsea,0.0,93,0.0,0.00,778,0,0,93,53548,0.0,,0.0,0,0.0,-1,2022-08-10T10:27:43.622232Z,0.00,1,0.0,0,0.0,58,0.0,0,,0.0,0,Werner,0.0,778,0.0,778,0.00,0,u,11,0,0,0,Transferred to RB Leipzig,0.0,0,92,93,0.0,778,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,776,384,0.0,778,0.0,2202,0,0.0,0.2,93,93,0,19
138,Robert Kenedy Nunes do Nascimento,39,DEF,Chelsea,0.0,182,0.0,0.00,570,0,0,192,53915,0.0,,0.0,0,0.0,-1,2022-09-02T10:47:42.073387Z,0.00,1,0.0,0,0.0,135,0.0,0,,0.0,0,Kenedy,0.0,556,0.0,534,0.00,0,u,240,0,0,0,Transferred to Real Valladolid,0.0,0,146,194,0.0,552,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,434,361,0.0,497,0.0,27068,0,0.0,0.2,195,195,0,738
139,Ben Chilwell,56,DEF,Chelsea,0.26,33,0.16,2.49,160,2,0,14,1919463,0.1,,12.5,4,0.96,-4,2023-05-06T17:00:08.147359Z,18.25,4,1.17,0,178.0,38,283.4,0,1.0,0.0,0,Chilwell,382.6,165,0.0,89,1.57,0,d,11,0,3,19,Hamstring injury - 25% chance of playing,0.26,3,106,39,25.0,239,,84.2,0.5,1,4.06,25.0,15,3.0,1402,70,False,343,110,0.1,194,0.0,1795089,302,1.22,3.1,91,51,4,93
140,Christian Pulisic,56,MID,Chelsea,0.34,104,0.04,0.38,401,1,0,127,160783,0.1,,7.0,0,0.89,-4,2023-03-31T17:30:08.578843Z,14.13,4,1.58,0,210.0,94,117.2,0,,-0.1,1,Pulisic,166.7,277,0.0,204,1.67,0,a,49,0,1,11,,0.23,1,163,123,100.0,365,,49.1,0.5,0,2.05,100.0,8,1.6,805,39,False,344,281,0.19,173,0.0,109347,102,1.23,0.4,150,173,3,94
141,Trevoh Chalobah,44,DEF,Chelsea,0.28,75,0.02,0.32,317,0,0,93,186691,0.3,,11.1,1,1.01,-6,2022-08-31T08:30:06.535126Z,30.99,6,1.74,0,108.0,87,283.6,0,,0.9,1,Chalobah,93.5,282,0.0,301,0.82,1,a,104,0,4,24,,0.07,0,78,97,100.0,238,,48.7,1.3,0,1.14,100.0,18,2.0,1601,49,False,240,247,0.05,268,0.8,175599,318,1.35,0.6,90,118,5,496
142,Mason Mount,72,MID,Chelsea,0.44,61,0.15,2.81,119,3,0,55,2792751,0.0,3.0,11.4,8,1.09,-8,2023-04-25T13:30:08.341862Z,23.53,8,1.29,0,376.0,31,331.4,0,,-0.2,0,Mount,463.1,99,0.0,66,1.97,0,d,18,0,4,21,Pelvic - 50% chance of playing,0.26,4,338,69,50.0,207,3.0,117.2,0.0,2,4.78,50.0,20,3.4,1644,82,False,775,97,0.11,97,-0.2,2177297,277,1.15,3.4,86,51,8,34
143,Malang Sarr,50,DEF,Chelsea,0.0,261,0.0,0.00,765,0,0,261,11884,0.0,,0.0,0,0.0,0,2022-08-12T14:18:58.649483Z,0.00,0,0.0,0,0.0,212,0.0,0,,0.0,0,Sarr,0.0,764,0.0,762,0.00,0,u,27,0,0,0,Season-long loan to Monaco,0.0,0,257,261,0.0,763,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,737,577,0.0,757,0.0,289,0,0.0,0.0,261,261,0,202
144,Callum Hudson-Odoi,53,MID,Chelsea,0.0,335,0.0,0.00,770,0,0,335,10408,0.0,,0.0,0,0.0,-2,2022-08-31T07:22:31.364700Z,0.00,2,0.0,0,0.0,230,0.0,0,,0.0,0,Hudson-Odoi,0.0,770,0.0,768,0.00,0,u,80,0,0,0,Season-long loan to Bayer Leverkusen,0.0,0,329,335,0.0,769,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,755,579,0.0,766,0.0,1884,0,0.0,0.0,335,335,0,148
145,Kai Havertz,74,FWD,Chelsea,0.32,10,0.1,2.75,178,7,0,3,1755945,0.2,,13.8,13,1.05,-6,2023-04-25T13:30:08.364738Z,38.25,6,1.34,0,1012.0,16,470.2,0,,0.9,1,Havertz,513.3,29,0.0,55,11.58,0,a,13,0,5,31,,0.51,1,31,8,100.0,129,1.0,199.3,1.3,1,14.33,100.0,30,2.9,2565,102,False,243,104,0.41,15,0.8,1575452,301,1.09,3.2,13,24,9,28
146,Reece James,58,DEF,Chelsea,0.14,40,0.21,2.93,189,1,0,17,7263967,0.0,2.0,7.6,5,1.01,-2,2023-04-25T13:30:08.392244Z,14.11,2,1.02,0,153.0,15,292.2,0,2.0,0.0,0,James,358.2,175,0.0,98,1.06,0,i,8,0,4,17,Hamstring injury - Expected back 01 Jul,0.29,2,259,43,0.0,230,2.0,80.4,0.0,0,3.99,0.0,14,2.8,1242,44,False,768,43,0.08,214,0.0,4234493,286,1.23,10.7,85,66,2,79
147,Edouard Mendy,48,GKP,Chelsea,0.11,76,0.0,0.00,244,0,0,81,2234052,0.0,,5.0,0,0.95,-2,2022-12-30T15:00:07.563757Z,14.24,2,1.5,0,0.0,13,200.4,0,,-0.3,0,Mendy,0.0,405,2.63,751,0.00,0,a,12,25,1,14,,0.0,0,28,26,100.0,306,,20.2,0.2,1,0.00,100.0,9,2.4,855,24,False,395,68,0.0,744,-0.3,698390,132,1.47,5.8,26,32,1,285
148,Conor Gallagher,56,MID,Chelsea,0.22,72,0.1,1.73,346,3,0,78,217511,0.5,,11.8,7,1.01,-4,2022-10-19T22:30:07.006380Z,30.95,4,1.73,1,321.0,74,379.8,0,5.0,2.5,2,Gallagher,343.5,117,0.0,104,2.55,0,a,52,0,9,23,,0.24,1,54,75,100.0,181,,104.3,2.8,0,4.28,100.0,18,1.9,1608,66,False,114,227,0.14,113,2.3,117548,279,1.29,0.7,74,144,4,99
150,Armando Broja,52,FWD,Chelsea,0.32,53,0.02,0.06,365,1,0,59,183899,0.0,,4.0,0,0.63,-3,2022-12-20T01:00:07.171085Z,4.49,3,1.42,0,113.0,51,64.6,0,,0.0,0,Broja,18.2,407,0.0,421,0.84,0,i,52,0,0,5,Knee injury - Expected back 01 Jul,0.29,1,84,53,0.0,420,,19.7,0.0,0,0.90,0.0,2,1.8,285,21,False,748,316,0.27,259,0.0,75379,56,1.58,0.3,50,46,1,165
151,Ethan Ampadu,44,DEF,Chelsea,0.0,246,0.0,0.00,667,0,0,248,8160,0.0,,0.0,0,0.0,-1,2022-09-02T10:48:44.805594Z,0.00,1,0.0,0,0.0,206,0.0,0,,0.0,0,Ampadu,0.0,655,0.0,645,0.00,0,u,108,0,0,0,Season-long loan to Spezia,0.0,0,234,249,0.0,650,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,586,563,0.0,625,0.0,1467,0,0.0,0.0,249,249,0,501
272,Wesley Fofana,43,DEF,Chelsea,0.13,90,0.02,0.29,271,1,0,120,490318,0.2,,8.6,4,0.93,-2,2023-05-06T21:00:08.764822Z,22.96,2,1.52,0,86.0,68,289.2,0,,0.1,1,W.Fofana,59.0,306,0.0,356,0.74,0,a,150,0,4,24,,0.07,0,100,104,100.0,232,,43.8,0.7,1,1.03,100.0,14,2.2,1362,37,False,315,194,0.05,292,0.2,405290,244,1.59,1.0,87,98,2,578
304,Raheem Sterling,97,MID,Chelsea,0.24,26,0.15,3.22,98,6,0,51,1817823,0.5,,10.4,9,1.1,-3,2023-05-25T22:00:12.474077Z,27.83,3,1.33,0,603.0,30,388.2,0,,2.0,5,Sterling,479.8,69,0.0,62,6.21,0,d,4,0,4,27,Hamstring injury - 50% chance of playing,0.45,4,17,49,50.0,172,,146.8,4.7,2,9.43,50.0,23,3.6,1886,101,False,32,96,0.3,42,2.1,1432352,274,1.29,3.4,71,43,5,7
520,Kalidou Koulibaly,55,DEF,Chelsea,0.3,49,0.02,0.43,137,2,0,84,1787611,0.0,,13.5,8,1.0,0,2023-04-12T22:30:09.908012Z,22.43,0,1.12,1,141.0,25,497.4,0,,-0.3,0,Koulibaly,104.1,200,0.0,282,0.88,0,a,12,0,5,22,,0.06,1,131,56,100.0,114,,74.5,0.2,0,1.31,100.0,20,3.2,1798,74,False,401,72,0.04,226,-0.3,1136459,408,1.1,5.4,38,40,6,105
606,Harvey Vale,45,MID,Chelsea,0.0,288,0.0,0.00,726,0,0,295,274,0.0,,0.0,0,0.0,0,2022-09-02T11:12:46.298693Z,0.00,0,0.0,0,0.0,322,0.0,0,,0.0,0,Vale,0.0,716,0.0,711,0.00,0,u,242,0,0,0,Season-long loan to Hull City,0.0,0,259,293,0.0,713,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,664,757,0.0,698,0.0,241,0,0.0,0.0,291,303,0,427
616,Denis Zakaria,49,MID,Chelsea,0.44,200,0.01,0.05,341,0,0,208,9099,0.0,,2.7,0,1.1,-1,2023-01-12T23:30:07.854486Z,6.69,1,1.47,0,24.0,221,44.6,0,,-0.5,0,Zakaria,22.6,452,0.0,413,0.19,0,a,141,0,0,5,,0.05,0,310,207,100.0,445,,9.2,0.0,0,0.24,100.0,5,1.9,409,13,False,728,558,0.04,412,-0.5,9726,47,1.1,0.0,196,139,2,243
617,Pierre-Emerick Aubameyang,84,FWD,Chelsea,0.16,47,0.03,0.18,385,1,0,51,557360,0.0,,3.0,3,0.82,-6,2023-03-10T14:30:09.301028Z,8.66,6,1.43,0,177.0,41,55.0,0,,-0.3,0,Aubameyang,59.4,370,0.0,355,1.53,0,a,7,0,1,8,,0.28,0,57,51,100.0,431,,28.5,0.2,0,1.71,100.0,5,1.7,546,25,False,403,232,0.25,195,-0.3,578472,61,1.32,0.7,53,49,1,12
635,Marcus Bettinelli,40,GKP,Chelsea,0.0,35,0.0,0.00,591,0,0,44,3770,0.0,,0.0,0,0.0,0,2023-04-27T00:00:09.265260Z,0.00,0,0.0,0,0.0,64,0.0,0,,-0.1,0,Bettinelli,0.0,578,0.0,559,0.00,0,d,40,0,0,0,Knock - 25% chance of playing,0.0,0,53,61,25.0,574,,0.0,0.0,0,0.00,25.0,0,0.0,0,0,False,456,600,0.0,524,-0.1,4627,0,0.0,0.0,61,61,0,655
653,Omari Hutchinson,42,MID,Chelsea,0.0,224,0.08,0.02,482,0,0,227,1561,0.0,,0.2,0,0.0,-3,,0.63,3,2.58,0,4.0,278,1.0,0,,-0.5,0,Hutchinson,1.8,516,0.0,472,0.00,0,a,332,0,0,0,,0.08,0,202,233,,523,,0.7,0.0,0,0.02,,0,1.0,22,1,False,549,691,0.0,460,-0.5,1899,2,0.0,0.0,237,213,0,626
661,Lewis Hall,43,MID,Chelsea,0.14,133,0.2,1.46,289,0,0,125,4242,0.4,,4.4,3,1.1,-2,,13.29,2,1.83,0,119.0,220,113.2,0,,1.3,2,Hall,174.3,321,0.0,200,0.83,0,a,311,0,1,11,,0.31,0,82,145,,371,,40.7,1.8,0,2.29,,8,2.1,653,19,False,182,556,0.11,248,1.3,7776,118,1.52,0.0,153,114,1,580
673,Bashir Humphreys,45,DEF,Chelsea,0.0,256,0.0,0.00,711,0,0,257,429,0.0,,0.0,0,0.0,0,2023-01-29T17:39:15.472023Z,0.00,0,0.0,0,0.0,258,0.0,0,,0.0,0,Humphreys,0.0,700,0.0,695,0.00,0,u,83,0,0,0,Season-long loan to SC Paderborn,0.0,0,248,257,0.0,696,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,646,737,0.0,679,0.0,345,0,0.0,0.0,257,257,0,402
684,David Datro Fofana,50,FWD,Chelsea,0.0,62,0.05,0.04,528,0,0,55,17862,0.0,,0.6,0,1.32,0,,1.72,0,2.28,0,30.0,68,15.2,0,,-0.3,0,D.D.Fofana,34.6,456,0.0,393,0.57,0,a,59,0,0,1,,0.8,0,54,59,,477,,8.0,0.2,0,0.61,,1,1.0,68,3,False,398,465,0.75,394,-0.3,22442,8,1.32,0.1,59,67,0,218
689,Benoît Badiashile,50,DEF,Chelsea,0.4,96,0.02,0.20,91,1,0,128,165341,0.3,,8.0,2,1.0,0,2023-05-19T14:00:10.405679Z,12.31,0,1.23,0,81.0,106,219.8,0,,0.3,0,Badiashile,49.1,340,0.0,371,1.26,0,d,29,0,2,9,Groin Injury - 25% chance of playing,0.15,0,79,118,25.0,291,,35.1,1.3,0,1.46,25.0,10,3.6,904,40,False,242,290,0.13,304,0.2,203481,209,0.9,0.4,116,22,4,207
690,João Félix Sequeira,71,FWD,Chelsea,0.19,38,0.1,0.99,193,4,0,35,752888,0.3,1.0,6.2,7,1.06,-4,2023-01-12T23:30:07.889355Z,14.18,4,1.36,1,287.0,26,203.6,0,4.0,2.1,1,João Félix,135.2,242,0.0,240,4.62,0,a,18,0,1,16,,0.54,0,21,38,100.0,303,,61.9,2.3,0,5.60,100.0,11,2.8,936,44,False,140,149,0.44,126,1.8,910337,126,1.54,1.7,34,26,2,40
699,Mykhailo Mudryk,64,MID,Chelsea,0.0,129,0.17,1.26,384,0,0,137,497936,0.1,,3.9,0,0.97,-6,,10.88,6,1.51,0,140.0,71,100.8,0,,0.5,0,Mudryk,146.4,330,0.0,224,1.82,0,a,29,0,1,10,,0.42,2,149,149,,378,,38.2,0.8,0,3.08,,7,1.7,650,25,False,312,211,0.25,228,0.3,571287,73,1.38,0.8,159,165,0,57
702,Andrey Nascimento dos Santos,45,MID,Chelsea,0.0,307,0.0,0.00,743,0,0,312,405,0.0,,0.0,0,0.0,0,2023-03-07T13:27:32.327905Z,0.00,0,0.0,0,0.0,320,0.0,0,,0.0,0,Andrey Santos,0.0,739,0.0,733,0.00,0,u,267,0,0,0,Season-long loan to Vasco de Gama,0.0,0,277,311,0.0,738,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,687,755,0.0,723,0.0,445,0,0.0,0.0,311,315,0,458
708,Noni Madueke,54,MID,Chelsea,0.0,114,0.1,0.72,281,1,0,146,20008,0.6,,4.8,2,0.99,-1,,13.11,1,1.85,0,182.0,141,130.8,0,,2.5,3,Madueke,131.9,300,0.0,242,0.90,0,a,68,0,0,13,,0.23,0,46,135,,359,,44.6,3.0,0,1.62,,7,2.2,639,26,False,96,398,0.13,190,2.5,35271,105,1.83,0.1,145,110,0,130
724,Enzo Fernández,50,MID,Chelsea,0.17,163,0.15,2.64,263,0,0,83,240392,0.3,4.0,8.4,1,1.05,0,2023-02-03T02:30:09.546920Z,24.91,0,1.45,0,64.0,70,298.2,0,,1.1,2,Enzo,307.3,224,0.0,114,0.78,0,a,119,0,3,25,,0.2,2,95,110,100.0,225,,67.1,1.7,0,3.42,100.0,18,2.3,1547,42,False,204,209,0.05,329,1.2,320254,265,1.45,0.8,97,99,3,212
771,Ethan Wady,40,GKP,Chelsea,0.0,47,0.0,0.00,616,0,0,56,13,0.0,,0.0,0,0.0,0,,0.00,0,0.0,0,0.0,84,0.0,0,,1.1,0,Wady,0.0,602,0.0,583,0.00,0,a,52,0,0,0,,0.0,0,65,73,,598,,0.0,0.0,0,0.00,,0,0.0,0,0,False,484,766,0.0,551,-0.5,75,0,0.0,0.0,73,73,0,685
775,Alfie Gilchrist,40,DEF,Chelsea,0.0,222,0.0,0.00,637,0,0,227,5,0.0,,0.0,0,0.0,0,,0.00,0,0.0,0,0.0,262,0.0,0,,0.9,0,Gilchrist,0.0,623,0.0,605,0.00,0,a,219,0,0,0,,0.0,0,187,229,,619,,0.0,0.0,0,0.00,,0,0.0,0,0,False,507,767,0.0,574,-0.5,72,0,0.0,0.0,230,231,0,709
18,Albert Sambi Lokonga,43,MID,Crystal Palace,0.25,206,0.02,0.18,409,0,0,187,53783,0.0,,5.3,0,0.99,-2,2023-03-11T21:30:08.347478Z,8.12,2,1.0,0,20.0,124,98.4,0,,0.0,0,Sambi,57.2,414,0.0,359,0.17,0,a,309,0,2,8,,0.04,0,206,185,100.0,381,,17.6,0.0,0,0.35,100.0,8,1.5,728,23,False,567,356,0.02,420,0.0,38990,129,0.99,0.2,161,176,2,577
152,Vicente Guaita,44,GKP,Crystal Palace,0.22,63,0.0,0.01,78,0,0,72,551835,0.0,,22.5,10,1.0,-1,2023-04-07T13:30:06.811754Z,38.20,1,1.41,0,0.0,23,668.4,0,,0.0,0,Guaita,0.0,225,3.15,638,0.00,0,a,19,85,1,34,,0.0,0,78,14,100.0,50,,66.8,0.0,1,0.01,100.0,27,3.7,2430,99,False,572,163,0.0,615,0.0,542689,484,1.26,1.4,14,16,6,473
153,James Tomkins,39,DEF,Crystal Palace,0.0,116,0.0,0.00,441,1,0,175,197479,0.0,,2.1,1,0.81,-1,2023-05-04T11:00:08.964262Z,9.99,1,2.68,1,54.0,76,90.0,0,,0.0,0,Tomkins,1.1,424,0.0,481,0.81,0,i,236,0,1,10,Calf injury - Expected back 01 Jul,0.22,0,142,151,0.0,394,,14.6,0.0,2,0.81,0.0,3,1.3,335,8,False,427,210,0.22,339,0.0,175559,50,2.69,0.8,152,155,0,731
154,James McArthur,48,MID,Crystal Palace,0.0,318,0.0,0.00,521,0,0,229,1986,0.1,,0.8,0,0.0,-2,2023-05-04T11:00:08.985807Z,0.41,2,0.74,0,0.0,282,6.8,0,,0.2,1,McArthur,1.7,511,0.0,474,0.00,0,a,154,0,0,0,,0.0,0,160,230,100.0,495,,0.9,0.5,0,0.00,100.0,0,1.0,50,4,False,339,696,0.0,738,0.5,1097,13,0.0,0.0,220,242,0,259
155,Christian Benteke,55,FWD,Crystal Palace,0.0,91,0.0,0.00,774,0,0,91,81273,0.0,,0.0,0,0.0,0,2022-08-10T10:33:52.348630Z,0.00,0,0.0,0,0.0,63,0.0,0,,0.0,0,Benteke,0.0,774,0.0,774,0.00,0,u,38,0,0,0,Transferred to D.C. United,0.0,0,88,91,0.0,774,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,763,417,0.0,773,0.0,3358,0,0.0,0.1,91,91,0,104
