id,name,now_cost,position,team,clean_sheets_per_90,threat_rank_type,expected_assists_per_90,expected_assists,points_per_game_rank,goals_scored,penalties_missed,creativity_rank_type,transfers_out,value_form,direct_freekicks_order,value_season,bonus,starts_per_90,cost_change_start,news_added,expected_goals_conceded,cost_change_start_fall,expected_goals_conceded_per_90,red_cards,threat,selected_rank_type,influence,penalties_saved,corners_and_indirect_freekicks_order,ep_next,event_points,web_name,creativity,ict_index_rank,saves_per_90,creativity_rank,expected_goals,own_goals,status,now_cost_rank_type,saves,yellow_cards,goals_conceded,news,expected_goal_involvements_per_90,assists,form_rank_type,ict_index_rank_type,chance_of_playing_next_round,influence_rank,penalties_order,ict_index,form,dreamteam_count,expected_goal_involvements,chance_of_playing_this_round,starts,points_per_game,minutes,total_points,in_dreamteam,form_rank,selected_rank,expected_goals_per_90,threat_rank,ep_this,transfers_in,bps,goals_conceded_per_90,selected_by_percent,influence_rank_type,points_per_game_rank_type,clean_sheets,now_cost_rank
730,Felipe Augusto de Almeida Monteiro,45,DEF,Nott'm Forest,0.06,56,0.07,1.15,393,0,0,104,7877,0.6,,5.6,3,0.95,0,2023-05-26T15:30:11.613940Z,31.83,0,2.02,0,130.0,186,379.0,0,,2.1,0,Felipe,79.5,249,0.0,319,1.20,0,d,69,0,4,32,Knock - 75% chance of playing,0.15,1,27,78,75.0,184,,59.0,2.8,0,2.35,75.0,15,1.6,1417,25,False,109,507,0.08,236,2.1,12143,233,2.03,0.1,71,141,1,357
734,André Ayew,50,MID,Nott'm Forest,0.0,173,0.01,0.03,545,0,1,211,1263,0.0,,2.2,0,0.29,0,2023-03-28T00:00:10.091468Z,7.41,0,2.18,0,53.0,271,34.0,0,,0.0,1,A.Ayew,17.1,448,0.0,425,1.06,0,a,105,0,1,10,,0.32,0,186,204,100.0,459,3.0,10.5,0.2,0,1.09,100.0,1,0.8,306,11,False,396,680,0.31,350,0.2,1766,27,2.94,0.0,202,256,0,184
749,George Shelvey,40,GKP,Nott'm Forest,0.0,49,0.0,0.00,620,0,0,58,355,0.0,,0.0,0,0.0,0,,0.00,0,0.0,0,0.0,76,0.0,0,,0.0,0,G.Shelvey,0.0,606,0.0,587,0.00,0,a,54,0,0,0,,0.0,0,67,75,,602,,0.0,0.0,0,0.00,,0,0.0,0,0,False,488,709,0.0,555,0.0,649,0,0.0,0.0,75,75,0,689
21,Ainsley Maitland-Niles,48,MID,Southampton,0.19,202,0.05,0.76,379,0,0,129,9556,0.2,,7.9,0,0.84,-2,2023-04-15T23:00:07.790408Z,22.20,2,1.43,0,23.0,214,280.2,0,,0.2,0,Maitland-Niles,159.2,293,0.0,213,0.02,0,a,162,0,3,31,,0.05,1,129,132,100.0,243,,46.0,1.0,0,0.78,100.0,13,1.7,1400,38,False,282,548,0.0,414,0.0,5607,202,1.99,0.0,102,160,3,271
321,Roméo Lavia,45,MID,Southampton,0.16,180,0.03,0.62,322,1,0,98,105012,0.5,,12.7,0,1.05,0,2023-04-08T22:30:08.327974Z,41.72,0,1.69,0,46.0,129,344.8,0,3.0,1.2,2,Lavia,247.1,233,0.0,144,0.42,0,a,255,0,9,50,,0.05,1,66,112,100.0,203,,64.2,2.2,0,1.04,100.0,26,2.0,2219,57,False,145,370,0.02,368,1.2,90372,317,2.03,0.2,83,124,4,444
400,Theo Walcott,48,MID,Southampton,0.16,109,0.12,1.52,229,2,0,130,9360,0.4,,10.2,1,1.04,-2,2022-12-21T00:30:08.500375Z,24.71,2,1.98,0,199.0,206,164.6,0,,0.2,5,Walcott,159.1,270,0.0,214,2.39,1,a,151,0,1,30,,0.31,2,76,120,100.0,330,,52.1,2.0,1,3.91,100.0,13,2.5,1123,49,False,163,536,0.19,181,1.0,9263,140,2.4,0.0,134,86,2,256
401,Alex McCarthy,43,GKP,Southampton,0.0,59,0.0,0.00,447,0,0,68,24543,0.3,,1.9,0,1.0,-2,2022-12-29T15:00:07.562088Z,15.16,2,2.53,0,0.0,48,84.2,0,,0.2,1,McCarthy,0.0,454,2.33,630,0.00,0,a,26,14,0,17,,0.0,0,22,30,100.0,401,,8.4,1.2,0,0.00,100.0,6,1.3,540,8,False,248,399,0.0,601,0.2,8379,83,2.83,0.1,30,39,0,539
402,Oriol Romeu Vidal,48,MID,Southampton,0.0,231,0.24,0.20,326,0,0,222,9786,0.0,,0.4,0,1.22,-2,2022-09-01T10:55:31.452685Z,1.45,2,1.76,0,2.0,234,6.2,0,,0.0,0,Romeu,3.8,504,0.0,463,0.00,0,u,156,0,0,4,Transferred to Girona,0.24,0,299,226,0.0,497,,1.2,0.0,0,0.20,0.0,1,2.0,74,2,False,714,594,0.0,472,0.0,932,9,4.86,0.0,221,127,0,263
403,Nathan Redmond,53,MID,Southampton,0.0,333,0.0,0.00,531,0,0,333,6553,0.0,,0.2,0,0.0,-2,2022-09-09T08:38:44.910361Z,0.02,2,1.8,0,0.0,239,0.0,0,,0.0,0,Redmond,0.0,768,0.0,766,0.00,0,u,70,0,0,0,Transferred to Besiktas,0.0,0,324,333,0.0,767,,0.0,0.0,0,0.00,0.0,0,1.0,1,1,False,750,602,0.0,764,0.0,1007,3,0.0,0.0,333,249,0,135
405,Stuart Armstrong,47,MID,Southampton,0.06,83,0.18,2.73,359,2,0,90,23362,0.6,,12.1,2,0.91,-3,2023-01-09T15:00:07.482611Z,28.64,3,1.85,0,267.0,178,234.2,0,,2.5,1,S.Armstrong,282.8,181,0.0,124,2.31,0,a,181,0,6,34,,0.33,2,43,99,100.0,279,,78.6,3.0,0,5.04,100.0,14,1.8,1391,57,False,92,481,0.15,140,2.0,16707,221,2.2,0.1,118,149,1,301
406,Mohamed Elyounoussi,51,MID,Southampton,0.08,58,0.06,1.53,342,1,0,87,14654,0.4,,12.2,0,1.12,-4,,37.02,4,1.54,0,388.0,193,285.0,0,,1.0,2,Elyounoussi,297.2,138,0.0,119,3.52,0,a,96,0,4,45,,0.21,1,80,86,,236,,96.8,2.0,0,5.05,,27,1.9,2162,62,False,172,501,0.15,92,1.0,8945,218,1.87,0.1,99,140,2,170
407,James Ward-Prowse,61,MID,Southampton,0.11,73,0.14,5.30,86,9,2,4,1786445,0.9,1.0,23.3,18,1.01,-4,2023-04-27T23:30:08.867910Z,60.71,4,1.62,0,319.0,25,880.4,0,1.0,4.2,7,Ward-Prowse,1162.9,18,0.0,6,5.86,1,a,32,0,6,72,,0.3,4,11,13,100.0,17,1.0,236.3,5.6,3,11.16,100.0,38,3.7,3371,142,False,18,78,0.16,114,4.6,1374045,747,1.92,4.9,8,37,4,63
408,Adam Armstrong,53,FWD,Southampton,0.07,40,0.05,0.75,366,2,0,33,311720,0.3,,10.2,3,0.95,-2,2022-10-06T13:30:07.187553Z,24.77,2,1.69,0,275.0,40,142.0,0,,-0.2,5,A.Armstrong,148.8,260,0.0,221,2.23,0,a,48,0,2,24,,0.2,1,27,41,100.0,353,,55.6,1.6,0,2.98,100.0,14,1.8,1321,54,False,221,228,0.15,133,0.6,284649,161,1.64,0.7,41,47,1,143
409,Kyle Walker-Peters,44,DEF,Southampton,0.1,27,0.08,2.50,352,1,0,23,226674,0.1,,12.7,2,1.02,-1,2023-03-15T22:30:08.797474Z,51.26,1,1.74,0,198.0,83,403.4,0,,-0.5,0,Walker-Peters,277.9,153,0.0,128,1.08,0,a,99,0,4,58,,0.12,0,107,33,100.0,164,,87.9,0.4,1,3.58,100.0,30,1.8,2650,56,False,349,237,0.04,182,-0.6,164701,335,1.97,0.6,62,126,3,491
410,Jan Bednarek,41,DEF,Southampton,0.15,132,0.01,0.26,422,0,0,135,51790,0.0,,7.8,2,1.07,-4,2023-04-22T14:30:07.800233Z,36.14,4,1.84,0,43.0,132,415.0,0,,-0.8,0,Bednarek,38.4,275,0.0,385,0.42,1,a,178,0,5,40,,0.03,0,115,94,100.0,152,,49.7,0.2,0,0.68,100.0,21,1.4,1770,32,False,370,357,0.02,372,-0.8,24589,321,2.03,0.2,54,149,3,635
411,Che Adams,60,FWD,Southampton,0.18,19,0.1,2.19,118,5,0,11,565035,0.1,,15.7,9,1.04,-5,2023-05-12T15:30:08.341426Z,34.19,5,1.55,0,583.0,33,340.4,0,,0.0,0,Adams,336.4,89,0.0,106,6.48,0,i,29,0,1,41,Calf injury - Expected back 07 Jan,0.39,5,47,17,0.0,204,,124.6,0.6,4,8.67,0.0,23,3.4,1987,94,False,331,212,0.29,48,0.0,539048,262,1.86,0.8,20,16,4,71
412,Nathan Tella,50,MID,Southampton,0.0,328,0.0,0.00,764,0,0,330,301,0.0,,0.0,0,0.0,0,2022-08-12T14:24:55.174713Z,0.00,0,0.0,0,0.0,318,0.0,0,,0.0,0,Tella,0.0,763,0.0,761,0.00,0,u,112,0,0,0,Season-long loan to Burnley,0.0,0,314,330,0.0,762,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,736,752,0.0,756,0.0,13,0,0.0,0.0,330,331,0,200
413,Lyanco Silveira Neves Vojnovic,44,DEF,Southampton,0.0,68,0.01,0.12,429,1,0,124,6758,0.6,,6.6,0,0.84,-1,2022-08-11T13:30:06.884427Z,23.36,1,1.79,0,114.0,197,281.6,0,,1.5,3,Lyanco,52.8,298,0.0,365,0.58,0,a,111,0,4,26,,0.05,1,32,101,100.0,242,,45.0,2.6,0,0.70,100.0,11,1.4,1173,29,False,122,526,0.04,252,1.6,4356,209,1.99,0.0,92,151,0,504
414,Yan Valery,40,DEF,Southampton,0.0,197,0.0,0.00,602,0,0,177,79753,0.0,,0.0,0,2.0,0,2022-09-02T11:05:50.798912Z,0.99,0,1.98,0,0.0,126,4.0,0,,0.0,0,Valery,0.9,521,0.0,483,0.00,0,u,191,0,0,2,Transferred to Angers,0.0,0,161,181,0.0,509,,0.5,0.0,0,0.00,0.0,1,0.0,45,0,False,467,341,0.0,535,0.0,20793,1,4.0,0.3,179,209,0,667
415,Will Smallbone,45,MID,Southampton,0.0,265,0.0,0.00,692,0,0,273,1451,0.0,,0.0,0,0.0,0,2022-07-27T11:00:04.337061Z,0.00,0,0.0,0,0.0,283,0.0,0,,0.0,0,Smallbone,0.0,681,0.0,675,0.00,0,u,212,0,0,0,Joined Stoke City on loan - Expected back 01 Jul,0.0,0,236,271,0.0,676,,0.0,0.0,0,0.00,0.0,0,0.0,0,0,False,623,699,0.0,659,0.0,0,0,0.0,0.0,268,282,0,371
416,Ibrahima Diallo,41,MID,Southampton,0.0,193,0.01,0.12,464,0,0,177,97164,0.0,,4.6,0,1.22,-4,2022-10-18T10:30:08.584850Z,14.48,4,1.6,0,28.0,104,85.4,0,,-1.0,0,Diallo,66.0,413,0.0,341,0.21,0,a,337,0,4,19,,0.03,0,195,184,100.0,400,,17.7,0.0,0,0.33,100.0,11,1.1,813,19,False,531,305,0.02,396,-1.0,60264,95,2.1,0.4,171,206,0,642
417,Romain Perraud,40,DEF,Southampton,0.2,8,0.09,1.86,237,2,0,30,241324,0.0,2.0,17.8,5,1.08,-5,2023-04-27T23:30:08.891636Z,30.64,5,1.51,0,298.0,109,360.6,0,,0.0,0,Perraud,251.8,147,0.0,143,1.26,1,i,195,0,4,35,Ankle injury - Expected back 01 Jul,0.15,2,165,31,0.0,195,,90.9,0.0,1,3.12,0.0,22,2.4,1828,71,False,474,298,0.06,122,0.0,270162,304,1.72,0.4,75,86,4,674
418,Moussa Djenepo,49,MID,Southampton,0.0,159,0.06,0.43,380,0,0,148,21150,0.1,,5.5,0,0.9,-1,2022-11-04T23:30:08.897775Z,11.26,1,1.44,0,70.0,186,141.8,0,,-0.5,0,Djenepo,123.2,347,0.0,253,0.15,0,a,148,0,1,14,,0.08,2,170,153,100.0,354,,33.7,0.4,0,0.58,100.0,7,1.7,702,27,False,358,492,0.02,318,-0.6,16891,117,1.79,0.1,142,161,0,251
419,Tino Livramento,44,DEF,Southampton,0.0,248,0.0,0.00,494,0,0,250,3350,0.1,,0.5,0,0.0,-1,2022-07-05T15:30:04.232654Z,1.41,1,4.88,0,0.0,240,5.8,0,,-0.8,1,Livramento,0.0,520,0.0,654,0.00,0,a,120,0,0,0,,0.0,0,109,180,100.0,498,,0.6,0.4,0,0.00,100.0,0,1.0,26,2,False,351,664,0.0,635,-0.6,2301,13,0.0,0.0,177,174,0,523
